"Keyword","Monthly Volume","Adwords CPC","Adwords Comp","Volume Jan","Volume Feb","Volume Mar","Volume Apr","Volume May","Volume Jun","Volume Jul","Volume Aug","Volume Sep","Volume Oct","Volume Nov","Volume Dec"
"news is always timely","888","$80.00","88.00","6","7","1","10","11","9","10","4","6","11","6","11"
"news today","888","$80.00","88.00","8","4","8","8","1","11","9","7","1","9","4","7"
"news uk","888","$80.00","88.00","5","10","11","7","6","1","10","6","8","7","8","1"
"news of the world","888","$80.00","88.00","7","10","11","8","11","8","5","3","2","9","7","4"
"news in hindi","888","$80.00","88.00","5","11","1","4","11","3","3","5","2","10","5","3"
"news 24","888","$80.00","88.00","8","6","9","4","7","7","5","2","9","7","1","1"
"news live","888","$80.00","88.00","10","4","10","6","11","10","4","1","5","6","6","10"
"news headlines","888","$80.00","88.00","7","3","5","3","1","4","1","3","11","10","6","11"
"news am","888","$80.00","88.00","10","10","7","6","8","5","1","11","8","8","1","5"
"news america","888","$80.00","88.00","8","11","11","11","1","2","9","5","7","5","1","9"
"news ae","888","$80.00","88.00","8","4","2","9","4","8","11","8","10","5","9","8"
"news about russia","888","$80.00","88.00","8","5","4","11","3","10","7","3","2","5","6","8"
"news api","888","$80.00","88.00","6","5","5","8","1","2","9","6","7","5","7","9"
"news az","888","$80.00","88.00","4","4","1","1","3","8","7","10","8","7","2","10"
"news are or is","888","$80.00","88.00","3","11","11","10","2","11","7","4","8","8","6","10"
"news about ukraine","888","$80.00","88.00","8","11","10","6","3","11","2","8","4","10","7","5"
"news brawl","888","$80.00","88.00","2","11","3","10","8","5","11","6","2","7","9","9"
"news brawl stars","888","$80.00","88.00","5","6","7","9","7","4","11","7","9","4","8","11"
"news bravo","888","$80.00","88.00","2","11","2","1","4","9","9","6","3","3","9","11"
"news bulletin","888","$80.00","88.00","9","1","3","4","6","10","11","2","10","5","6","5"
"news bravo stars","888","$80.00","88.00","7","3","10","7","9","6","2","1","3","4","2","5"
"news countable or uncountable","888","$80.00","88.00","8","1","9","8","7","10","9","9","6","3","5","9"
"news cnn","888","$80.00","88.00","1","5","6","2","4","10","1","5","8","10","11","1"
"news china","888","$80.00","88.00","8","9","9","6","2","7","2","8","10","5","5","4"
"news clash royale","888","$80.00","88.00","1","6","4","3","5","7","8","2","4","9","5","10"
"news clash","888","$80.00","88.00","1","8","8","7","9","8","4","3","3","2","11","10"
"news canada","888","$80.00","88.00","1","4","6","8","6","11","4","7","4","7","7","1"
"news clash of clans","888","$80.00","88.00","3","3","1","9","4","8","4","7","9","11","8","7"
"news corp","888","$80.00","88.00","6","6","10","5","4","5","4","11","1","2","6","3"
"news deutschland","888","$80.00","88.00","1","7","11","11","1","11","3","5","7","11","10","5"
"news daily","888","$80.00","88.00","10","1","2","9","9","9","7","8","11","11","11","9"
"news dead by daylight","888","$80.00","88.00","7","4","1","10","8","9","2","8","7","8","2","11"
"news digest","888","$80.00","88.00","1","10","11","3","1","1","8","11","2","2","1","7"
"news drom","888","$80.00","88.00","1","5","3","1","3","4","7","2","6","11","8","5"
"news day","888","$80.00","88.00","6","1","6","11","8","3","4","6","1","10","7","6"
"news dw","888","$80.00","88.00","5","2","1","4","10","8","9","1","3","9","6","3"
"news europe","888","$80.00","88.00","9","10","7","4","11","8","11","7","3","9","4","4"
"news english","888","$80.00","88.00","6","3","6","8","6","7","8","9","5","10","5","11"
"news england","888","$80.00","88.00","6","10","4","9","9","1","9","2","8","2","3","2"
"news economy","888","$80.00","88.00","8","3","11","4","1","2","5","7","7","10","1","11"
"news eu","888","$80.00","88.00","7","9","4","8","5","11","4","2","9","11","7","8"
"news emoji","888","$80.00","88.00","5","4","5","11","2","4","2","10","10","1","7","10"
"news echo","888","$80.00","88.00","5","11","5","1","1","11","1","1","1","5","5","9"
"news explorer","888","$80.00","88.00","6","8","9","7","6","2","4","1","4","6","10","11"
"news front","888","$80.00","88.00","4","9","4","9","3","6","7","11","8","9","1","3"
"news front info","888","$80.00","88.00","10","4","8","8","5","5","5","11","8","2","10","7"
"news france","888","$80.00","88.00","5","8","4","11","9","4","9","6","1","9","10","2"
"news for the youth","888","$80.00","88.00","1","9","10","1","1","1","2","7","2","1","2","7"
"news feed","888","$80.00","88.00","7","6","11","5","6","3","6","4","1","9","11","2"
"news from ukraine","888","$80.00","88.00","3","2","4","7","8","3","1","1","11","8","8","7"
"news flash","888","$80.00","88.00","7","5","4","10","8","9","10","4","10","9","1","2"
"news google","888","$80.00","88.00","11","11","11","1","2","4","3","10","5","11","2","3"
"news germany","888","$80.00","88.00","10","1","11","6","4","11","10","11","10","10","1","8"
"news great britain","888","$80.00","88.00","7","7","2","1","4","4","2","2","4","9","7","9"
"news games","888","$80.00","88.00","3","3","6","5","11","1","5","9","4","1","3","10"
"news guardian","888","$80.00","88.00","11","7","1","2","8","3","11","10","5","4","7","10"
