"Keyword","Monthly Volume","Adwords CPC","Adwords Comp","Volume Jan","Volume Feb","Volume Mar","Volume Apr","Volume May","Volume Jun","Volume Jul","Volume Aug","Volume Sep","Volume Oct","Volume Nov","Volume Dec"
"science direct","888","$80.00","88.00","6","7","8","8","9","4","7","4","7","4","1","9"
"science museum","888","$80.00","88.00","4","11","11","6","4","7","1","9","5","7","6","11"
"science news","888","$80.00","88.00","11","10","9","4","8","8","6","4","9","7","5","11"
"science hub","888","$80.00","88.00","1","1","11","1","3","2","9","6","2","1","9","8"
"science daily","888","$80.00","88.00","3","6","9","4","11","11","2","10","6","7","9","1"
"science fiction movies","888","$80.00","88.00","3","9","11","9","4","2","7","3","2","6","9","9"
"science fiction","888","$80.00","88.00","1","8","6","2","11","6","9","6","1","5","7","7"
"science center","888","$80.00","88.00","5","8","8","5","5","3","11","1","2","10","5","8"
"science and technology","888","$80.00","88.00","5","5","6","9","9","3","6","1","2","5","4","10"
"science articles","888","$80.00","88.00","1","4","6","3","10","3","6","3","3","6","5","10"
"science art","888","$80.00","88.00","1","7","4","11","1","1","5","8","10","11","9","5"
"science advances","888","$80.00","88.00","6","10","11","3","3","8","11","11","3","1","7","11"
"science adventure","888","$80.00","88.00","4","11","7","7","11","7","8","8","9","4","9","9"
"science and technology topic","888","$80.00","88.00","10","8","5","8","11","10","4","10","6","10","2","8"
"science bear","888","$80.00","88.00","11","2","1","10","3","8","5","7","2","8","3","9"
"science bio","888","$80.00","88.00","6","2","9","10","5","1","1","6","7","8","3","6"
"science battle","888","$80.00","88.00","4","6","7","7","4","6","11","7","4","8","5","10"
"science bar hopping","888","$80.00","88.00","7","5","9","5","7","6","1","2","2","7","9","9"
"science bulletin","888","$80.00","88.00","1","2","11","8","4","3","10","1","7","5","3","4"
"science bear beesmas lights","888","$80.00","88.00","7","10","2","4","4","5","4","10","3","5","3","7"
"science based targets initiative","888","$80.00","88.00","11","1","1","7","5","2","6","5","5","10","7","3"
"science books","888","$80.00","88.00","1","8","4","5","9","5","7","10","5","10","4","11"
"science citation index","888","$80.00","88.00","6","3","7","11","11","10","3","3","7","5","8","7"
"science community","888","$80.00","88.00","8","9","4","3","1","8","11","6","7","1","6","8"
"science citation index expanded","888","$80.00","88.00","1","8","9","9","8","9","4","7","7","7","6","6"
"science channel","888","$80.00","88.00","10","10","3","5","8","3","3","7","10","2","6","5"
"science communication","888","$80.00","88.00","9","5","8","4","3","11","3","10","2","1","3","8"
"science club","888","$80.00","88.00","3","6","5","5","7","4","2","6","11","1","7","1"
"science china chemistry","888","$80.00","88.00","11","10","4","7","6","11","8","2","6","8","1","11"
"science china materials","888","$80.00","88.00","5","9","5","8","3","5","3","11","6","10","5","6"
"science d... with a variety of subjects","888","$80.00","88.00","10","6","5","4","5","10","4","5","7","8","11","9"
"science diet","888","$80.00","88.00","11","9","5","8","10","4","9","1","2","8","8","7"
"science definition","888","$80.00","88.00","4","8","2","4","5","9","2","6","11","6","5","10"
"science data","888","$80.00","88.00","9","2","1","5","4","10","1","10","8","6","10","9"
"science development","888","$80.00","88.00","5","2","6","10","2","5","9","1","9","3","6","2"
"science education","888","$80.00","88.00","10","4","8","9","1","5","1","8","3","6","10","3"
"science et vie","888","$80.00","88.00","5","7","8","9","7","11","5","7","3","2","10","6"
"science etymology","888","$80.00","88.00","5","11","2","11","5","2","4","1","7","11","1","6"
"science et vie junior","888","$80.00","88.00","3","6","1","10","2","3","8","5","8","3","11","1"
"science emoji","888","$80.00","88.00","1","10","4","1","7","11","5","11","7","5","6","4"
"science esl questions","888","$80.00","88.00","11","7","5","6","3","9","4","4","7","6","1","4"
"science et avenir","888","$80.00","88.00","1","1","3","9","8","8","10","11","3","11","3","4"
"science essay","888","$80.00","88.00","7","9","11","1","2","1","11","5","8","7","2","5"
"science for you","888","$80.00","88.00","1","8","9","2","9","5","7","8","7","10","1","9"
"science fiction films","888","$80.00","88.00","7","9","1","9","5","6","11","3","5","7","7","1"
"science fiction writers including jules","888","$80.00","88.00","11","4","9","6","11","11","4","9","6","4","11","4"
"science fiction books","888","$80.00","88.00","7","10","10","8","11","2","1","3","2","3","11","10"
"science for education today","888","$80.00","88.00","2","5","10","7","10","6","11","3","2","1","9","6"
"science garage","888","$80.00","88.00","11","3","10","9","6","1","1","10","6","9","6","4"
"science gov","888","$80.00","88.00","9","4","1","3","10","8","4","10","2","6","4","2"
"science game","888","$80.00","88.00","10","7","3","4","1","1","11","4","8","4","10","7"
"science gate","888","$80.00","88.00","8","2","11","3","11","10","9","1","5","7","10","10"
"science google","888","$80.00","88.00","1","9","8","1","8","5","2","6","10","5","5","8"
"science gov tm","888","$80.00","88.00","6","8","2","2","3","1","10","7","3","9","2","6"
"science gelfand","888","$80.00","88.00","7","4","2","8","5","7","11","5","11","10","8","7"
"science gothic font","888","$80.00","88.00","5","11","5","8","8","9","10","7","9","6","10","2"
"science hunter","888","$80.00","88.00","10","6","3","4","4","3","10","11","7","3","7","10"
"science history","888","$80.00","88.00","11","6","3","4","3","1","5","5","7","8","1","5"
