"Keyword","Monthly Volume","Adwords CPC","Adwords Comp","Volume Jan","Volume Feb","Volume Mar","Volume Apr","Volume May","Volume Jun","Volume Jul","Volume Aug","Volume Sep","Volume Oct","Volume Nov","Volume Dec"
"shopping","888","$80.00","88.00","2","8","9","3","9","5","5","5","3","1","5","2"
"shopping center 701","888","$80.00","88.00","3","2","1","7","3","9","5","7","2","9","2","11"
"shopping  nyt crossword","888","$80.00","88.00","1","3","3","11","2","3","3","9","7","11","8","11"
"shopping near me","888","$80.00","88.00","6","6","9","2","3","1","9","4","10","9","2","9"
"shopping centre near me","888","$80.00","88.00","3","7","3","11","5","5","9","2","9","10","10","11"
"shopping list","888","$80.00","88.00","9","1","9","9","6","11","8","10","8","4","1","11"
"shopping malls near me","888","$80.00","88.00","8","6","10","10","7","10","8","2","4","9","4","10"
"shopping mall","888","$80.00","88.00","8","10","10","10","3","4","9","2","6","4","5","9"
"shopping center near me","888","$80.00","88.00","4","3","8","9","5","6","6","5","7","2","11","1"
"shopping trolley","888","$80.00","88.00","1","9","10","7","8","5","10","5","2","4","5","6"
"shopping apps","888","$80.00","88.00","9","9","6","11","7","5","10","11","3","7","6","4"
"shopping and traffic","888","$80.00","88.00","11","6","3","8","8","6","4","5","9","4","7","7"
"shopping addiction","888","$80.00","88.00","1","9","7","7","2","2","8","3","6","11","9","7"
"shopping around","888","$80.00","88.00","8","6","9","2","8","4","5","11","6","11","10","7"
"shopping app","888","$80.00","88.00","10","6","5","5","3","9","10","9","1","1","2","5"
"shopping area","888","$80.00","88.00","10","3","3","2","3","10","9","3","6","6","5","5"
"shopping article","888","$80.00","88.00","9","7","8","5","1","3","11","11","9","4","1","2"
"shopping at the grocery store","888","$80.00","88.00","11","10","10","6","4","10","6","1","1","1","8","11"
"shopping bag","888","$80.00","88.00","4","2","5","11","8","2","11","1","2","11","5","3"
"shopping basket","888","$80.00","88.00","6","2","11","2","2","11","5","2","7","5","3","2"
"shopping bag mockup","888","$80.00","88.00","7","7","9","6","5","6","5","2","3","11","1","10"
"shopping bot","888","$80.00","88.00","8","1","4","8","7","6","6","6","10","7","11","3"
"shopping british council","888","$80.00","88.00","7","2","1","7","2","8","5","11","8","11","3","5"
