"Keyword","Monthly Volume","Adwords CPC","Adwords Comp","Volume Jan","Volume Feb","Volume Mar","Volume Apr","Volume May","Volume Jun","Volume Jul","Volume Aug","Volume Sep","Volume Oct","Volume Nov","Volume Dec"
"sport  multi terrain vehicle","888","$80.00","88.00","1","1","2","5","6","9","8","10","10","7","7","1"
"sport  crossword","888","$80.00","88.00","10","11","3","9","1","10","5","11","7","3","8","9"
"sport  all terrain vehicle","888","$80.00","88.00","4","8","11","11","3","5","2","11","8","1","2","4"
"sport  some vehicles crossword","888","$80.00","88.00","5","9","2","5","6","4","1","5","3","8","2","5"
"sport  modern vehicles","888","$80.00","88.00","10","1","1","11","6","5","11","2","9","8","9","11"
"sport  crossword clue","888","$80.00","88.00","11","5","8","11","7","7","2","3","6","5","8","2"
"sport  allterrain vehicle","888","$80.00","88.00","4","8","6","4","7","3","1","3","1","5","5","9"
"sport  off road vehicle","888","$80.00","88.00","6","11","6","8","3","1","8","4","3","6","8","9"
"sport chek","888","$80.00","88.00","4","2","4","10","8","9","9","10","5","10","10","2"
"sport am","888","$80.00","88.00","3","10","8","4","8","4","8","6","8","8","7","6"
"sport activities","888","$80.00","88.00","8","10","2","1","1","10","8","11","10","4","4","2"
"sport assist","888","$80.00","88.00","7","11","1","3","7","8","4","6","1","3","11","9"
"sport arena","888","$80.00","88.00","5","10","8","2","3","6","2","7","1","2","10","7"
"sport and games","888","$80.00","88.00","5","7","4","8","9","2","8","6","9","2","3","3"
"sport angel","888","$80.00","88.00","4","3","8","6","5","6","11","1","4","7","11","8"
"sport arena tv","888","$80.00","88.00","11","3","11","9","7","3","10","7","7","7","11","6"
"sport bag","888","$80.00","88.00","10","5","11","3","5","2","2","9","9","4","1","8"
"sport boulevard depo","888","$80.00","88.00","7","3","9","1","2","5","10","6","4","8","11","5"
"sport business","888","$80.00","88.00","5","11","11","3","10","11","2","9","5","9","9","11"
"sport business awards","888","$80.00","88.00","6","4","6","10","8","1","6","10","11","8","9","2"
"sport bet","888","$80.00","88.00","10","10","10","4","8","7","2","6","4","2","10","5"
"sport betting","888","$80.00","88.00","3","6","10","8","3","9","2","1","5","8","1","2"
"sport car","888","$80.00","88.00","9","3","4","3","2","11","10","2","11","10","1","10"
"sport car 3","888","$80.00","88.00","5","5","11","8","7","2","9","4","6","3","8","7"
"sport chic","888","$80.00","88.00","5","5","11","5","1","8","2","11","11","6","5","2"
"sport cubes","888","$80.00","88.00","10","6","10","4","2","5","4","8","5","7","5","6"
"sport can be a great way to develop","888","$80.00","88.00","1","6","4","4","5","6","7","3","11","8","3","7"
"sport casual","888","$80.00","88.00","8","10","4","11","7","9","7","10","2","10","2","1"
"sport club","888","$80.00","88.00","2","7","7","3","2","8","11","10","3","9","10","1"
